Rank,Name,Total_net_worth,Country,Industry
1,Jeff Bezos,$136B,United States,Technology
2,Bill Gates,$93.3B,United States,Technology
3,Warren Buffett,$80.6B,United States,Diversified
4,Bernard Arnault,$71.6B,France,Consumer
5,Amancio Ortega,$61.1B,Spain,Retail
6,Carlos Slim,$59.0B,Mexico,Diversified
7,Mark Zuckerberg,$56.9B,United States,Technology
8,Larry Page,$52.3B,United States,Technology
9,Larry Ellison,$52.3B,United States,Technology
10,Sergey Brin,$50.9B,United States,Technology
11,Francoise Bettencourt Meyers,$45.5B,France,Consumer
12,Jim Walton,$45.0B,United States,Retail
13,Rob Walton,$44.8B,United States,Retail
14,Charles Koch,$44.4B,United States,Industrial
15,David Koch,$44.4B,United States,Industrial
16,Alice Walton,$43.6B,United States,Retail
17,Mukesh Ambani,$42.9B,India,Energy
18,Steve Ballmer,$39.1B,United States,Technology
19,Jack Ma,$37.8B,China,Technology
20,Pony Ma,$33.9B,China,Technology
21,Jacqueline Mars,$33.6B,United States,Food & Beverage
22,John Mars,$33.6B,United States,Food & Beverage
23,Sheldon Adelson,$31.7B,United States,Entertainment
24,Li Ka-Shing,$30.1B,Hong Kong,Real Estate
25,Hui Ka Yan,$30.1B,China,Real Estate
26,Francois Pinault,$30.0B,France,Consumer
27,Phil Knight,$29.9B,United States,Consumer
28,Michael Dell,$26.6B,United States,Technology
29,Tadashi Yanai,$26.3B,Japan,Retail
30,Elon R Musk,$25.5B,United States,Technology
31,Dieter Schwarz,$23.1B,Germany,Retail
32,Lee Shau Kee,$22.7B,Hong Kong,Real Estate
33,Giovanni Ferrero,$22.6B,Italy,Food & Beverage
34,Jorge Paulo Lemann,$21.3B,Brazil,Food & Beverage
35,Leonardo del Vecchio,$20.9B,Italy,Consumer
36,Vladimir Potanin,$20.5B,Russian Federation,Commodities
37,Leonid Mikhelson,$20.1B,Russian Federation,Energy
38,Susanne Klatten,$20.0B,Germany,Industrial
39,Pallonji Mistry,$20.0B,Ireland,Industrial
40,Carl Icahn,$18.8B,United States,Diversified
41,Len Blavatnik,$18.7B,United States,Diversified
42,Alain Wertheimer,$18.6B,France,Consumer
