country,role,name
Afghanistan,Ambassador to the US,Hamdullah MOHIB
Afghanistan,Attorney General,Mohammad Farid HAMIDI
Afghanistan,CEO,"Abdullah ABDULLAH, Dr."
Afghanistan,"Dir. Gen., Independent Directorate for Local Governance",Abdul Matin BEK
Afghanistan,"Dir. Gen., National Directorate of Security",Mohammad Masoom STANEKZAI
Afghanistan,First Deputy CEO,Khyal Mohammad KHAN
Afghanistan,First Vice Pres.,Abdul Rashid DOSTAM
Afghanistan,"Governor, Da Afghanistan Bank",Khalilullah SEDIQ
Afghanistan,"Min. of Agriculture, Irrigation, & Livestock",Nasir Ahmad DURRANI
Afghanistan,Min. of Border & Tribal Affairs,Gul Agha SHERZAI
Afghanistan,Min. of Commerce & Industry,Homayoun RASA
Afghanistan,Min. of Counternarcotics,Salamat AZIMI
Afghanistan,Min. of Defense,Tariq Shah BAHRAMI
Afghanistan,Min. of Economy,Mohammad Mustafa MASTOOR
Afghanistan,Min. of Education,Mohammad Ibrahim SHINWARI
Afghanistan,Min. of Energy & Water,Ali Ahmad OSMANI
Afghanistan,Min. of Finance,Eklil Ahmad HAKIMI
Afghanistan,Min. of Foreign Affairs,Salahuddin RABBANI
Afghanistan,Min. of Hajj & Islamic Affairs,Faiz Mohammad OSMANI
Afghanistan,Min. of Higher Education,Najibullah Khwaja OMARI
Afghanistan,Min. of Information & Culture,Mohammad Rasul BAWARI
Afghanistan,Min. of Interior,Wais Ahmad BARMAK
Afghanistan,Min. of Justice,Abdul Basir ANWAR
Afghanistan,"Min. of Martyred, Disabled, Labor, & Social Affairs",Faizullah ZAKI
Afghanistan,Min. of Parliamentary Affairs,Faruq WARDAK
Afghanistan,Min. of Public Health,Ferozuddin FEROZ
Afghanistan,Min. of Public Works,Yama YARI
Afghanistan,Min. of Refugees & Repatriation,Sayed Hussain Alemi BALKHI
Afghanistan,Min. of Rural Rehabilitation & Development,Mujib Rahman KARIMI
Afghanistan,Min. of Telecommunication & Information Technology,Shahzad Gul ARYUBI
Afghanistan,Min. of Tourism,Ghulam Nabi FARAHI
Afghanistan,Min. of Transportation & Civil Aviation,Mohammad Hamid TAHMASI
Afghanistan,Min. of Urban Development,Sayed Sadat NADERI
Afghanistan,Min. of Women's Affairs,Dilbar NAZARI
Afghanistan,National Security Adviser,Mohammad Hanif ATMAR
Afghanistan,"Permanent Representative to the UN, New York",Mahmood SAIKAL
Afghanistan,Pres.,Ashraf GHANI
Afghanistan,Second Deputy CEO,Mohammad MOHAQQEQ
Afghanistan,Second Vice Pres.,Sarwar DANESH
Albania,Ambassador to the US,Floreta FABER
Albania,Dep. Prime Min.,Senida MESI
Albania,"Governor, Bank of Albania",Gent SEJKO
Albania,Min. for Europe & Foreign Affairs,Ditmir BUSHATI
Albania,Min. of Agriculture & Rural Development,Niko PELESHI
Albania,Min. of Culture,Mirela KUMBARO
Albania,Min. of Defense,Olta XHACKA
Albania,Min. of Diaspora,Pandeli MAJKO
Albania,Min. of Economy,Milva EKONOMI
Albania,"Min. of Education, Sports, & Youth",Lindita NIKOLLA
Albania,Min. of Environment,Lefter KOKA
Albania,Min. of Finance & Economy,Arben AHMETAJ
Albania,Min. of Health & Social Welfare,Orgerta MANASTIRLIU
Albania,Min. of Infrastructure & Energy,Damian GJIKNURI
Albania,Min. of Innovation & Public Admin.,Milena HARITO
Albania,Min. of Integration,Klajda GJOSHA
Albania,Min. of Interior,Fatmir XHAFAJ
Albania,Min. of Justice,Etilda GJONAJT
Albania,Min. of Local Govt. Affairs,Bled CUCI
Albania,Min. of Protection of Entrepreneurs,Sonila QATO
Albania,Min. of Relations With Parliament,Ermonela FELAJ
Albania,Min. of Tourism & Environment,Blendi KLOSI
Albania,Min. of Transport & Infrastructure,Edmond HAXHINASTO
Albania,Min. of Urban Development,Eglantina GJERMENI
Albania,Min. of Youth & Social Welfare,Blendi KLOSI
Albania,"Permanent Representative to the UN, New York",Besiana KADARE
Albania,Pres.,Ilir META
Albania,Prime Min.,Edi RAMA
Algeria,Ambassador to the US,Madjid BOUGUERRA
Algeria,"Dep. Min. of National Defense & Chief of Staff, People's National Army",Ahmad GAID-SALAH
Algeria,"Governor, Central Bank",Mohamed LOUKAL
Algeria,"Min. of Agriculture, Rural Development, & Fisheries",Abdelkader BOUAZGUI
Algeria,Min. of Commerce,Said DJELLAB
Algeria,Min. of Communication,Djamel KAOUANE
Algeria,Min. of Culture,Azzedine MIHOUBI
Algeria,Min. of Energy,Mustapha GUITOUNI
Algeria,Min. of Environment & Renewable Energies,Fatma Zohra ZEROUATI
Algeria,Min. of Finance,Abderrahmane RAOUIA
Algeria,Min. of Foreign Affairs & International Cooperation,Abdelkader MESSAHEL
Algeria,"Min. of Health, Population, & Hospital Reform",Mokhtar HASBELLAOUI
Algeria,Min. of Higher Education & Scientific Research,Tahar HADJAR
Algeria,"Min. of Housing, Urban Planning, & the City",Abdelwahid TEMMARA
Algeria,Min. of Industry & Mines,Youcef YOUSFI
Algeria,Min. of Interior & Local Govts.,Nouredine BEDOUI
Algeria,Min. of Justice & Keeper of the Seals,Tayeb LOUH
Algeria,"Min. of Labor, Employment, & Social Security",Mourad ZEMALI
Algeria,Min. of National Defense,Abdelaziz BOUTEFLIKA
Algeria,Min. of National Education,Nouria BENGHEBRIT
Algeria,"Min. of National Solidarity, Family, & Women's Affairs",Ghania EDDALIA
Algeria,"Min. of Post, Information Technologies, & Communications",Iman Houda FERAOUN
Algeria,Min. of Public Works & Transport,Abdelghani ZAALANE
Algeria,Min. of Relations With the Parliament,Mahdjoub BEDDA
Algeria,Min. of Religious Affairs & Endowments,Mohamed AISSA
Algeria,Min. of Tourism & Handicrafts,Abdelkader BENMESSAOUD
Algeria,Min. of Vocational Training & Education Professionals,Mohamed MEBARKI
Algeria,Min. of War Veterans (Moudjahidine),Tayeb ZITOUNI
Algeria,Min. of Water Resources,Hocine NECIB
Algeria,Min. of Youth & Sports,Mohamed HATTAB
Algeria,"Permanent Representative to the UN, New York",Sabri BOUKADOUM
