full_name,position_short_name,org_name,org_country
Saul Zang,Co-Chairman,Banco Hipotecario SA,Argentina
Alejandro P. Bulgheroni,Vice-Chairman and President,BC Energy Investment Corp.,Argentina
Victor Dosoretz,"Chairman, ICC Argentina; Vice-Chairman",Camara Argentina de Comercio ,Argentina
Martin Eurnekian,Chief Executive Officer,Corporacion America,Argentina
Sebastián Bagó,Chief Executive Officer,Grupo Bagó,Argentina
Eduardo S. Elsztain,Chairman,IRSA Inversiones y Representaciones,Argentina
Marcos Bulgheroni,Chief Executive Officer,Pan American Energy LLC,Argentina
Juan Martín Bulgheroni,Vice-President,Pan American Energy LLC,Argentina
Delia Ferreira Rubio,Chair,Transparency International,Argentina
Brian Schmidt,Vice-Chancellor,Australian National University,Australia
Paul Hunyor,"Partner; Managing Director; Head, Digital Ventures, Asia",BCG Digital Ventures,Australia
Vikram Sharma,Chief Executive Officer,QuintessenceLabs Pty Ltd,Australia
Jean-Sébastien Jacques,Chief Executive Officer,Rio Tinto Plc,Australia
Simone Niven,"Group Executive, Corporate Relations",Rio Tinto Plc,Australia
James Chin Moody,Chief Executive Officer,Sendle LLC,Australia
Adam Long,Chief Executive Officer and Co-Founder,Smarter Drafter,Australia
Peter Holmes à Court,Special Correspondent,The Australian,Australia
Jane Hunt,Chief Executive Officer,The Front Project,Australia
Brian Hartzer,Chief Executive Officer,The Westpac Group,Australia
David Stephen,Chief Risk Officer,The Westpac Group,Australia
Naomi Flutter,"Executive General Manager, Corporate Affairs",Wesfarmers Limited,Australia
Rob Scott,Chief Executive Officer,Wesfarmers Limited,Australia
Francis Rafal,Chief Executive Officer,Content Creation School,Austria
Christoph Swarovski,Member of the Executive Board,D. Swarovski KG,Austria
Ulrike Guérot,"Professor and Director, Department for European Policy and the Study of Democracy",Danube University Krems,Austria
Faisal bin Abdulrahman bin Al Muaammar,Secretary-General,KAICIID Dialogue Center,Austria
Stefan Doboczky,Chief Executive Officer,Lenzing AG,Austria
Angela Kane,Senior Fellow,Vienna Center for Disarmament and Non- Proliferation,Austria
Nabil R. Kuzbari,President and Chief Executive Officer,Vimpex Handels GmbH,Austria
Rovnag Abdullayev,President,SOCAR ,Azerbaijan
Elshad Nasirov,Vice-President,SOCAR ,Azerbaijan
Israfil Mammadov,Deputy Chief Executive Officer,State Oil Fund of the Republic of Azerbaijan ,Azerbaijan
