name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Agnete Kirk Thinggaard,Thinggaard,agnete-kirk-thinggaard,no-pic-female,1.173,Lego,Manufacturing,F,Denmark,1547575201867,5085.196,336,336,//specials-images.forbesimg.com/imageserve/5a87083431358e4955ad9fd8/416x416.jpg?background=000000&cropX1=546&cropX2=1857&cropY1=0&cropY2=1312
Alberto Palatchi,Palatchi,alberto-palatchi,no-pic,0,wedding dresses,Fashion & Retail,M,Spain,1547574901334,1027.867,1966,1966,//specials-images.forbesimg.com/imageserve/5a810c2aa7ea431690133fce/416x416.jpg?background=000000&cropX1=937&cropX2=3124&cropY1=206&cropY2=2395
Alexander Otto,Otto,alexander-otto,no-pic,2.12,real estate,Real Estate,M,Germany,1547575201867,10821.927,126,126,//specials-images.forbesimg.com/imageserve/5a7e04f431358e4955ad0c06/416x416.jpg?background=000000&cropX1=126&cropX2=900&cropY1=176&cropY2=950
Alexey Repik,Repik,alexey-repik,no-pic,0,pharmaceuticals,Healthcare,M,Russia,1547574901333,2114,1092,1092,//specials-images.forbesimg.com/imageserve/5a8090244bbe6f2652f53d39/416x416.jpg?background=000000&cropX1=737&cropX2=3371&cropY1=34&cropY2=2667
Alice Schwartz,Schwartz,alice-schwartz,no-pic-female,4.56,biotech,Healthcare,F,United States,1547574901334,1025.755,1970,1970,
Amit Burman,Burman,amit-burman,amit-burman,-20.11,consumer goods,Food and Beverage,M,India,1547574901334,1360.274,1607,1607,//specials-images.forbesimg.com/imageserve/5a7f046b31358e4955ad1737/416x416.jpg?background=000000&cropX1=686&cropX2=3522&cropY1=12&cropY2=2848
Anant Asavabhokhin & family,Asavabhokhin,anant-asavabhokhin,no-pic,-0.582,real estate,Real Estate,M,Thailand,1547574901334,1294.076,1676,1676,//specials-images.forbesimg.com/imageserve/5ae0e71ca7ea43127982a6f6/416x416.jpg?background=000000&cropX1=909&cropX2=1588&cropY1=17&cropY2=696
Anastasia Soare,Soare,anastasia-soare,no-pic-female,0,cosmetics,Fashion & Retail,F,United States,1547574901334,1049,1949,1949,//specials-images.forbesimg.com/imageserve/5bbbc79c31358e4b20817639/416x416.jpg?background=000000&cropX1=502&cropX2=3158&cropY1=1769&cropY2=4427
"Andre Koo, Sr. Sr","Koo, Sr.",andre-koo-sr-sr,no-pic,21.394,financial services,Finance and Investments,M,Taiwan,1547574901334,1671.805,1336,1336,//specials-images.forbesimg.com/imageserve/5be5a708a7ea43705916933e/416x416.jpg?background=000000&cropX1=26&cropX2=3072&cropY1=7&cropY2=3055
Andrei Filatov,Filatov,andrei-filatov,andrei-filatov,0.206,"ports, railway transport",Logistics,M,Russia,1547574901334,1116.48,1879,1879,//specials-images.forbesimg.com/imageserve/5a8094b44bbe6f2652f53d5f/416x416.jpg?background=000000&cropX1=1067&cropX2=3230&cropY1=129&cropY2=2291
Andrey Andreev,Andreev,andrey-andreev,no-pic,0,online dating,Technology,M,United Kingdom,1547574901334,1539,1435,1435,//specials-images.forbesimg.com/imageserve/5a809c48a7ea431690133a7f/416x416.jpg?background=000000&cropX1=664&cropX2=2511&cropY1=81&cropY2=1927
Anton Rabie,Rabie,anton-rabie,no-pic,-19.693,toys,Manufacturing,M,Canada,1547574901334,1091.903,1909,1909,//specials-images.forbesimg.com/imageserve/5a9827414bbe6f0fa82705bd/416x416.jpg?background=000000&cropX1=0&cropX2=1200&cropY1=105&cropY2=1305
