position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
1,1,Hui Ka Yan,Hui,hui-ka-yan,hui-ka-yan,42500,60,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5bcf80dd31358e5b433443f8/416x416.jpg?background=000000&cropX1=949&cropX2=3612&cropY1=6&cropY2=2668
2,2,Ma Huateng,Ma,ma-huateng,ma-huateng,39000,47,internet media,Technology,M,//specials-images.forbesimg.com/imageserve/5bcf7e914bbe6f78bda59a2d/416x416.jpg?background=000000&cropX1=422&cropX2=3374&cropY1=318&cropY2=3268
3,3,Jack Ma,Ma,jack-ma,jack-ma,38600,54,e-commerce,Technology,M,//specials-images.forbesimg.com/imageserve/5bcf7de7a7ea43705914d3df/416x416.jpg?background=000000&cropX1=300&cropX2=2832&cropY1=0&cropY2=2534
4,4,Wang Jianlin,Wang,wang-jianlin,wang-jianlin,25200,64,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5bcf812fa7ea43705914d453/416x416.jpg?background=000000&cropX1=763&cropX2=2177&cropY1=56&cropY2=1468
5,5,Wang Wei,Wang,wang-wei,wang-wei,22300,49,package delivery,Service,M,//specials-images.forbesimg.com/imageserve/5bcf84084bbe6f78bda59a7d/416x416.jpg?background=000000&cropX1=417&cropX2=1479&cropY1=196&cropY2=1258
6,6,Yang Huiyan,Yang,yang-huiyan,yang-huiyan,20700,37,real estate,Real Estate,F,//specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602
7,7,He Xiangjian,He,he-xiangjian,he-xiangjian,18700,76,home appliances,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5bcf819231358e5b4334441e/416x416.jpg?background=000000&cropX1=501&cropX2=2180&cropY1=149&cropY2=1826
8,8,Robin Li,Li,robin-li,robin-li,17100,50,internet search,Technology,M,//specials-images.forbesimg.com/imageserve/5bcf84514bbe6f78bda59ac2/416x416.jpg?background=000000&cropX1=1294&cropX2=4560&cropY1=0&cropY2=3264
9,9,William Ding,Ding,william-ding,william-ding,16900,47,online games,Technology,M,//specials-images.forbesimg.com/imageserve/5bcf85184bbe6f78bda59af2/416x416.jpg?background=000000&cropX1=1377&cropX2=3932&cropY1=155&cropY2=2708
10,10,Li Shufu,Li,li-shufu,li-shufu,16500,55,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/5bcf84b931358e5b43344465/416x416.jpg?background=000000&cropX1=1062&cropX2=3351&cropY1=350&cropY2=2637
11,11,Wang Wenyin,Wang,wang-wenyin,wang-wenyin,13500,51,"mining, copper products",Metals & Mining,M,//specials-images.forbesimg.com/imageserve/5bcf8a4aa7ea43705914d54d/416x416.jpg?background=000000&cropX1=509&cropX2=2220&cropY1=170&cropY2=1882
12,12,Zhang Zhidong,Zhang,zhang-zhidong,zhang-zhidong,13400,47,internet media,Technology,M,//specials-images.forbesimg.com/imageserve/5bcf8eec31358e5b4334465b/416x416.jpg?background=000000&cropX1=139&cropX2=1113&cropY1=127&cropY2=1102
13,13,Zhou Qunfei,Zhou,zhou-qunfei,zhou-qunfei,10600,49,smartphone screens,Technology,F,//specials-images.forbesimg.com/imageserve/5bcfa14ca7ea43705914d7fe/416x416.jpg?background=000000&cropX1=681&cropX2=2331&cropY1=308&cropY2=1957
14,14,Sun Hongbin,Sun,sun-hongbin,sun-hongbin,10400,56,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/5bcf997b4bbe6f78bda59e20/416x416.jpg?background=000000&cropX1=361&cropX2=2596&cropY1=398&cropY2=2635
15,15,Gong Hongjia,Gong,gong-hongjia,gong-hongjia,10300,54,video surveillance,Finance and Investments,M,//specials-images.forbesimg.com/imageserve/5bcf94e531358e5b433447ce/416x416.jpg?background=000000&cropX1=296&cropX2=3488&cropY1=14&cropY2=3204
